,Actual_Job_Link,Company_Name,Design_Role,Doctorate,Functional_Area,Industry,Job_Application,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Skill_Experience,UG,min_experience,max_experience,min_salary,max_salary,Job_Title_lower,Position_Rank,Actual_Job_Title,Company_Name_lower,Company,Doc_require,PG_require,UG_require,Location_clean,loc_Bengaluru,loc_Delhi,loc_Mumbai,loc_Hyd,loc_Pune,loc_Kol,loc_Chennai
286,https://www.naukri.com/job-listings-Business-Analyst-ibruk-Consulting-Pvt-Ltd-Mumbai-JVLR-4-to-6-years-290917003848,ibruk Consulting Pvt Ltd,Business Analyst,,"IT Software - Application Programming   ,     Maintenance",Medical Devices  /    Equipments,375,20,Business Analyst,570,Business Analysis ,Mumbai(JVLR),2.0,"MCA - Computers, M.Tech - Computers",System Design/Implementation/ERP/CRM,Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, Computers",4.0,6.0,600000.0,800000.0,business analyst,mid_level,business analyst,ibruk consulting pvt ltd,ibruk consulting pvt ltd,Yes,Yes,Yes,Mumbai(JVLR),,,Mumbai,,,,
287,https://www.naukri.com/job-listings-Business-Analyst-Startup-Direct-Create-Gurgaon-2-to-4-years-280917900659,Startup - Direct Create,Business Analyst,Doctorate Not Required,Analytics & Business Intelligence,Internet  /    Ecommerce,64,21,Business Analyst,322,"Product Strategy,Product Management,Opencart,PHP,Yii,Business Analysis,E - commerce,Product Development,Web Technologies ",Gurgaon,,Any Postgraduate - Any Specialization,Analytics & BI,,Any Graduate - Any Specialization,2.0,4.0,,,business analyst,mid_level,business analyst,startup - direct create,startup - direct create,No,Yes,Yes,Gurgaon,,Delhi NCR,,,,,
289,https://www.naukri.com/job-listings-Professional-1-Quality-business-Analyst-EIT-Services-India-Pvt-Limited-Chennai-3-to-5-years-210917900754,EIT Services India Pvt Limited,Business Analyst,Doctorate Not Required,"IT Software - Application Programming   ,     Maintenance",IT-Hardware & Networking,55,28,Professional 1: Quality (business Analyst),800,"project management,business analysis,strategy,product quality,quality assurance,external audit,software development,software development methodology,project management methodology,software test ",Chennai,,Any Postgraduate,System Design/Implementation/ERP/CRM,"QualificationsBusiness Analyst (3 -5 years)    Green Belt Certified or BB trained    End to end process knowledge on HR and ability to identify the metrics that impact customer    Lean Methodology    Ability to understand the issues, causes by CAPA & RCA, FMEA, find out actions and ensure completion    Lean out the repeated errors and re-engineer the process if need be    Analytical thinking, Statistical knowledge, Process re-engineering    RPA background such as Automation Anywhere, UI path, BlueprismBasic Qualifications    Bachelor's degree or equivalent combination of education and experience    Bachelor's degree in business, mathematics, engineering, management Information Systems, or computer science, or related field preferred    Three or more years of quality assurance, engineering or management information systems experience    Experience working with quality metrics and software industry metric data collection and analysis techniques    Experience working with quality assurance principles and practices and software development methodologies such as Catalyst    Experience working with standard software development methodology assessments, such as SEI/CMM or ISO 9000    Experience working with project management methodology    Experience working with software test science and toolsOther Qualifications    Good organization and time management skills    Good communication skills to interact and present findings to team members, customers, management and support personnel    Good analytical and problem solving skills    Good interpersonal skills for interacting with project and task team members    Personal computer and business solutions software skills    Good ability to handle activities on multiple projects and tasks within the same or different accounts    Ability to work independently with integrity    Ability to work in a team environment, even when remote support is required    Ability to deal with and manage change    Ability to participate in various formal and informal professional development training sessions and established quality assurance training    Ability to complete assigned responsibilities in a given timeframe within a given budget    Ability to handle multiple project and task responsibilities simultaneously and switch among them quickly to meet prioritized business needs    Willingness to travel","B.Tech/B.E. - Computers, B.Sc - Computers, Maths, BCA - Computers, Any Graduate - Any Specialization, B.A - Maths",3.0,5.0,,,professional 1: quality (business analyst),mid_level,business analyst,eit services india pvt limited,eit services india pvt limited,No,Yes,Yes,Chennai,,,,,,,Chennai
290,https://www.naukri.com/job-listings-CIB-F-BM-Global-Program-Management-Business-Analyst-JPMorgan-Chase-Mumbai-4-to-8-years-210817904435,JPMorgan Chase,Business Analyst,,"IT Software - Application Programming   ,     Maintenance",Banking  /    Financial Services  /    Broking,26,24,CIB F&BM Global Program Management - Business Analyst,559,"Technical skills,Relationship management,Networking,Relationship building,Budgeting,Business operations,Business analysis,Corporate finance,Cash management ",Mumbai,,MBA/PGDM - Marketing,System Design/Implementation/ERP/CRM,,B.B.A / B.M.S - Management,4.0,8.0,,,cib f&bm global program management - business analyst,mid_level,business analyst,jpmorgan chase,jp morgan chase,Yes,Yes,Yes,Mumbai,,,Mumbai,,,,
293,https://www.naukri.com/job-listings-Technical-business-Analyst-PruTech-Solutions-India-Pvt-Ltd-Bengaluru-6-to-10-years-150917006235,PruTech Solutions India Pvt Ltd,Software Developer,Doctorate Not Required,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,481,24,Technical/business Analyst,980,"Investment Banking,Business Analysis,Java,Unix,SQL ",Bengaluru,1.0,Post Graduation Not Required,Programming & Design,Please refer to the Job description above,B.Tech/B.E. - Any Specialization,6.0,10.0,600000.0,1500000.0,technical/business analyst,mid_level,business analyst,prutech solutions india pvt ltd,prutech solutions india pvt ltd,No,No,Yes,Bengaluru,Bengaluru,,,,,,
294,https://www.naukri.com/job-listings-Business-Analyst-Associate-Margin-and-Collateral-JPMorgan-Chase-Bengaluru-7-to-10-years-190917900285,JPMorgan Chase,Business Alliances Manager,,"Financial Services   ,     Banking   ,     Investments   ,     Insurance",Banking  /    Financial Services  /    Broking,33,30,Business Analyst - Associate Margin and Collateral,375,"Financial services,Service,Wealth management,Project management,Business Analyst,Tools,Wholesale,Business operations,Asset management,Business analysis ",Bengaluru,,MBA/PGDM - Marketing,Card Products,,B.B.A / B.M.S - Management,7.0,10.0,,,business analyst - associate margin and collateral,mid_level,business analyst,jpmorgan chase,jp morgan chase,Yes,Yes,Yes,Bengaluru,Bengaluru,,,,,,
296,https://www.naukri.com/job-listings-Business-Analyst-JPMorgan-Chase-Bengaluru-5-to-8-years-210817903306,JPMorgan Chase,Business Analyst,,"IT Software - Application Programming   ,     Maintenance",Banking  /    Financial Services  /    Broking,113,24,Business Analyst,1064,"Customer focus,Agile,Investment banking,Business Analyst,Asset management,Customer support,Financial services,Tools,Ideas,Commercial banking ",Bengaluru,,MBA/PGDM - Marketing,System Design/Implementation/ERP/CRM,,B.B.A / B.M.S - Management,5.0,8.0,,,business analyst,mid_level,business analyst,jpmorgan chase,jp morgan chase,Yes,Yes,Yes,Bengaluru,Bengaluru,,,,,,
297,https://www.naukri.com/job-listings-Lead-Business-Analyst-BFSI-Vertical-RupeePower-com-Gurgaon-9-to-14-years-120917000963,RupeePower.com,Business Analyst,,Analytics & Business Intelligence,Internet  /    Ecommerce,693,37,Lead Business Analyst - BFSI Vertical,1500,"Requirement Analysis,Stakeholder Management,User Training,User Acceptance Testing,Agile,Process Improvement Initiatives,Bfsi,Project Management,Business Analysis,Requirements ",Gurgaon,,MBA/PGDM - Any Specialization,Analytics & BI,Please refer to the Job description above,B.Tech/B.E. - Any Specialization,9.0,14.0,,,lead business analyst - bfsi vertical,senior,business analyst,rupeepower.com,rupeepower.com,Yes,Yes,Yes,Gurgaon,,Delhi NCR,,,,,
298,https://www.naukri.com/job-listings-Walkin-Interview-with-Vmoksha-Technologies-for-Business-Analyst-Vmoksha-Technologies-Pvt-Ltd-Bengaluru-0-to-0-years-270917005660,Vmoksha Technologies Pvt. Ltd.,Trainee,Any Doctorate - Any Specialization,"Sales   ,     Retail   ,     Business Development",Fresher  /    Trainee  /    Entry Level,1287,9,Walkin Interview with Vmoksha Technologies for Business Analyst,4500,"communication skills,Excel,PPT,powerpoint presentation ",Bengaluru,,MBA/PGDM - Any Specialization,Other,Please refer to the Job description above,Any Graduate - Any Specialization,0.0,0.0,,,walkin interview with vmoksha technologies for business analyst,mid_level,business analyst,vmoksha technologies pvt. ltd.,vmoksha technologies pvt. ltd.,Yes,Yes,Yes,Bengaluru,Bengaluru,,,,,,
299,https://www.naukri.com/job-listings-Princ-IT-Business-Analyst-Veritas-Software-Technologies-India-Pvt-Ltd-Pune-7-to-12-years-061017901747,Veritas Software Technologies India Pvt. Ltd,Business Analyst,Doctorate Not Required,"IT Software - ERP   ,     CRM",IT-Software  /    Software Services,229,13,Princ IT Business Analyst,603,"Load Runner,HP Performance Center,Performance Testing,Test Cases,Test Scripts,Software Testing,Automation Framework,Performance Improvement,Web Technologies,Penetration Testing ",Pune,,"M.Tech - Any Specialization, Computers, MCA - Computers, MS/M.Sc(Science) - Any Specialization, Computers",System Design/Implementation/ERP/CRM,,"B.Tech/B.E. - Any Specialization, Computers",7.0,12.0,,,princ it business analyst,mid_level,business analyst,veritas software technologies india pvt. ltd,veritas software technologies india pvt. ltd,No,Yes,Yes,Pune,,,,,Pune,,
300,https://www.naukri.com/job-listings-Associate-Business-Analyst-Optymyze-Arezzo-Sky-India-Pvt-Ltd-Pune-0-to-2-years-040717004650,Optymyze - Arezzo Sky India Pvt. Ltd.,Business Analyst,,Analytics & Business Intelligence,IT-Software  /    Software Services,823,23,Associate Business Analyst,4500,"Business Solutions,New Business,Business Analysis,Compensation,Professional Services,Software Solutions,International Clients,Customer Focus,Performance Management ",Pune,,"MBA/PGDM - Any Specialization, Information Technology, MCA - Computers",Analytics & BI,"6 months to 1.5 years of total experience is must.Experience as a Business Analyst would be an advantageAcademic Credentials : BE/BTech OR BSc Comp Sc./BSc IT/ BCA + Any Masters Degree preferably MBA ITMust have very good MS Office (MS Excel, MS PowerPoint) skillsMinimum 12 months of experience in a management consulting, professional services or technology-related industryStrong written and oral communications skillsExperience in interacting with clientsKnowledge of Database conceptsVery strong problem solving skillsSelf-driven personalityPreferred data analysis skillsExperience with agile methodologiesProfessional and collaborative attitudePresentation skills","B.Tech/B.E. - Computers, B.Sc - Computers, BCA - Computers",0.0,2.0,,,associate business analyst,mid_level,business analyst,optymyze - arezzo sky india pvt. ltd.,optymyze - arezzo sky india pvt. ltd.,Yes,Yes,Yes,Pune,,,,,Pune,,
301,https://www.naukri.com/job-listings-Senior-Business-Analyst-Collateral-Management-Helius-Technologies-Pte-Limited-Singapore-Singapore-8-to-13-years-270917000180,Helius Technologies Pte Limited,Business Analyst,,"IT Software - Application Programming   ,     Maintenance",Banking  /    Financial Services  /    Broking,165,22,Senior Business Analyst Collateral Management,674,"Business Analysis,Project Management,Metrics,Requirements,Collateral Management,Legal Compliance,Medical Insurance,Communication Skills ","Singapore,    Singapore",2.0,,System Design/Implementation/ERP/CRM,Please refer to the Job description above,Any Graduate - Any Specialization,8.0,13.0,,,senior business analyst collateral management,senior,business analyst,helius technologies pte limited,helius technologies pte limited,Yes,No,Yes,"Singapore,    Singapore",,,,,,,
303,https://www.naukri.com/job-listings-Hiring-for-Business-Analyst-MattsenKumar-Services-Pvt-Ltd-Gurgaon-2-to-5-years-240817007956,MattsenKumar Services Pvt. Ltd,Business Analyst,,Analytics & Business Intelligence,BPO  /    Call Centre  /    ITES,1249,23,Hiring for Business Analyst,2000,"Business Analysis,Project Documentation,Process Improvement,Quality Audit,Interpersonal Skills,Problem Solving,Business Analyst,senior business analyst ",Gurgaon,,,Analytics & BI,,Any Graduate - Any Specialization,2.0,5.0,,,hiring for business analyst,mid_level,business analyst,mattsenkumar services pvt. ltd,mattsenkumar services pvt. ltd,Yes,No,Yes,Gurgaon,,Delhi NCR,,,,,
304,https://www.naukri.com/job-listings-DSIT-Retail-Senior-Business-Analyst-Shell-India-Markets-Private-Limited-Bengaluru-3-to-6-years-230917900284,Shell India Markets Private Limited,Business Analyst,Doctorate Not Required,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,112,26,DSIT - Retail - Senior Business Analyst,846,"Senior Business Analyst,Business analysis,IT solutions,E2E process testing,system integration,ITSO operations,application support,project management,implementation ",Bengaluru,1.0,Any Postgraduate - Any Specialization,System Design/Implementation/ERP/CRM,"RequirementsExperience and Qualifications required- Preferably a relevant education degree level- Proven record of delivering against stretch targets- Proven ability to influence without line management control- Proven ability to deal with conflict and ambiguity effectively- Proven ability to handle concurrent tasks with appropriate priority- Team player, works effectively with all levels in organisation (business & IT)- Work effectively in virtual, geographic dispersed, cross cultural environments- Strong leadership and change management capabilities to drive solution or improvement- Experience in application support or project management- Take ownership of problems and respond in a proactive manner where appropriate.- Recognises the need for continuous improvement and drive for continuous improvement- Good communication, coaching and interpersonal skills- Good influencing / negotiation skills- Able to express line of thoughts and conclusions verbally in english language in a way that can easily be understood-Shows ability to use structured problem solving tools and can explain solution options to non-IT stakeholders-Able to express line of thoughts and conclusions verbally in english language in a way that can easily be understood-Is able to explain which business value/benefits a specific IT solution creates-Knows which threats can happen to an IT solution, and has practised penetration tests and remediation implementation; takes security personal",Any Graduate - Any Specialization,3.0,6.0,,,dsit - retail - senior business analyst,senior,business analyst,shell india markets private limited,shell india markets private limited,No,Yes,Yes,Bengaluru,Bengaluru,,,,,,
306,https://www.naukri.com/job-listings-CT-RDT-Instrument-Technical-Business-Analyst-JPMorgan-Chase-Hyderabad-4-to-9-years-210817904130,JPMorgan Chase,Business Analyst,,IT Software - Other,Banking  /    Financial Services  /    Broking,44,24,CT - RDT - Instrument - Technical Business Analyst,846,"Financial services,Investment banking,OracleAsset management,Bonds,Commercial banking,Private equity,Fixed income,Unix ",Hyderabad,,MBA/PGDM - Marketing,System Design/Implementation/ERP/CRM,,B.B.A / B.M.S - Management,4.0,9.0,,,ct - rdt - instrument - technical business analyst,mid_level,business analyst,jpmorgan chase,jp morgan chase,Yes,Yes,Yes,Hyderabad,,,,Hyderabad,,,
309,https://www.naukri.com/job-listings-Business-Analyst-Aon-Consulting-Private-Limited-Gurgaon-3-to-4-years-210917005488,Aon Consulting Private Limited,Financial Analyst,Doctorate Not Required,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Accounting  /    Finance,418,28,Business Analyst,1434,"accounting,finance,corporate taxation,auditing,bcom,balance sheet,us gaap,issue resolution,tax reporting,Bank Reconcilliation,general accounting,fixed asset,Payroll Analyst ",Gurgaon,1.0,Post Graduation Not Required,Finance/Audit,Please refer to the Job description above,B.Com - Commerce,3.0,4.0,300000.0,475000.0,business analyst,mid_level,business analyst,aon consulting private limited,aon consulting private limited,No,No,Yes,Gurgaon,,Delhi NCR,,,,,
