,Job_Link,Job_Title,Company_Name,Experience,Location,SalaryI,Num_Openings,Job_Post,Job_Application,Job_View,Salary,Industry,Functional_Area,Role_Category,Design_Role,Key_Skills,Skill_Experience,UG,PG,Doctorate
640,https://www.naukri.com/job-listings-Reporting-Analyst-MI-Online-Internet-Premium-Delhi-NCR-2-to-6-years-190817900060?src=jobsearchDesk&sid=15083252468534&xp=23,Reporting Analyst - MI - Online/ Internet,Premium  hiring for A Leading Client of Â global Staffing Partner,2 - 6 yrs,Delhi NCR,Not Disclosed by Recruiter,,Posted 60 days ago,1500+,3000+,Not Disclosed by Recruiter,Internet  /    Ecommerce,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"Formulas,Excel,Charts,Pivot Table,VLOOKUP,MIS Reporting,MS Office,MIS Preparation,Powerpoint,Data Management,MIS ",,Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
641,https://www.naukri.com/job-listings-Deputy-Manager-Business-Analyst-Insurance-Premium-Mumbai-10-to-15-years-260817900005?src=jobsearchDesk&sid=15083252468534&xp=24,Deputy Manager - Business Analyst - Insurance,Premium,10 - 15 yrs,Mumbai,Not Disclosed by Recruiter,,Posted 53 days ago,460,1033,Not Disclosed by Recruiter,Insurance,Analytics & Business Intelligence,Analytics & BI,Business Analyst,"Business Analysis,Use Cases,Brd,UAT,Process Analysis,Process Improvement,Data Management ","THE SUCCESSFUL APPLICANT: - 10+ years of professional experience in the role of a business analyst, preferably BFSI domain - understands the business requirements and work accordingly - Bachelor's degree in any disciple - Experienced in gathering requirement, process analysis, developing process improvement, data management and ensuring reliability of data - Experienced in using company wide requirement definition and management system - Experienced of working in the Insurance or Banking Industry - working independently with users to define concepts - working closely with developers to implement requirements and provide necessary guidance to testers WHAT IS IN IT FOR YOU: - Liaise extensively with stakeholders - An opportunity to work with a global firm in a pivotal role - A meritocratic culture with clear/great career progression.",Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
642,https://www.naukri.com/job-listings-NLP-Scientist-Data-Mining-machine-Learning-Premium-India-5-to-10-years-171017901624?src=jobsearchDesk&sid=15083252468534&xp=25,NLP Scientist - Data Mining/machine Learning,Premium  hiring for Client of Rinalytics Advisors,5 - 10 yrs,India,Not Disclosed by Recruiter,,Posted 1 day ago,Less than 10,52,Not Disclosed by Recruiter,KPO  /    Research  /    Analytics,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"machine learning,information retrieval,neural networks,nlp,data mining,regression analysis,Data Analyst ",,B.Tech/B.E. - Any Specialization,"MS/M.Sc(Science) - Maths, Statistics, M.Tech - Any Specialization","Ph.D - Maths, Statistics, Economics"
643,https://www.naukri.com/job-listings-Retail-Coordinator-mis-Females-Only-Adecco-India-Private-Limited-Bengaluru-1-to-2-years-170217008066?src=jobsearchDesk&sid=15083252468534&xp=26,Retail Coordinator (mis) - Females Only,Adecco India Private Limited,1 - 2 yrs,Bengaluru,Not Disclosed by Recruiter,,Posted 1 day ago,16,3500+,Not Disclosed by Recruiter,Other,"Sales   ,     Retail   ,     Business Development",Other,Trainee,"Mis executive,mis reporting,Advance excel,vlook up,hlook up,pivot table,mis associate,mis analyst,,mis coordinator,management information system analyst,data analyst ",,Any Graduate - Any Specialization,,
644,https://www.naukri.com/job-listings-Analyst-fixed-Income-Reference-data-Live-connections-Bengaluru-2-to-4-years-131017004944?src=jobsearchDesk&sid=15083252468534&xp=35,Analyst-fixed Income Reference data,Live connections,2 - 4 yrs,Bengaluru,Not Disclosed by Recruiter,,Posted 5 days ago,14,74,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",Voice,Associate/Senior Associate -(NonTechnical),"fixed income,reference data,global reference data ",Please refer to the Job description above,Any Graduate - Any Specialization,,
645,https://www.naukri.com/job-listings-Senior-QA-Engineer-Informatica-Bangalore-1-to-6-years-101017901454?src=jobsearchDesk&sid=15083252468534&xp=37,Senior QA Engineer,Informatica,1 - 6 yrs,Bangalore,Not Disclosed by Recruiter,,Posted 8 days ago,40,337,Not Disclosed by Recruiter,Advertising  /    PR  /    MR  /    Event Management,Other,Other,"Permanent Job, Full Time","Senior,QA,Engineer ",Please refer to the Job description above,Graduation Not Required,Post Graduation Not Required,Doctorate Not Required
646,https://www.naukri.com/job-listings-Finance-Global-Master-Data-Specialist-Cargill-Business-Services-India-Private-Limited-Karnataka-12-to-14-years-140717900762?src=jobsearchDesk&sid=15083252468534&xp=38,Finance Global Master Data Specialist,Cargill Business Services India Private Limited,12 - 14 yrs,Karnataka,Not Disclosed by Recruiter,,Posted 34 days ago,Less than 10,296,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,Analytics & Business Intelligence,Analytics & BI,Analytics Manager,"Data Governance,Finance,Data Quality,Master Data Management,SAP,Data Analysis,Data Integration,Data Processing,Business Process,Integration Services,Governance ","Qualifications: Minimum Required Qualifications	B.E. and/or MBA	12+ years of experience in Master Data Management and Governance 	Excellent verbal and written English communication skills and demonstrated experiences communicating across diverse cultures, teams and regions	Ability, as exhibited from past experiences, to build and explain a robust master data management operating model and focused culturePreferred Qualifications	Experience in Master Data Management and Analytics in multinational corporations	Experience in SAP	Formal degree or qualification in Master Data Management or Data Management	Formal certification in Master Data Management.",B.Tech/B.E. - Any Specialization,MBA/PGDM - Any Specialization,
647,https://www.naukri.com/job-listings-Associate-executive-Reporting-Management-Information-System-JP-Morgan-Chase-Mumbai-Mumbai-0-to-5-years-080917900418?src=jobsearchDesk&sid=15083252468534&xp=40,Associate_executive Reporting & Management Information System,JP Morgan Chase,0 - 5 yrs,"Mumbai,    Mumbai",Not Disclosed by Recruiter,,Posted 40 days ago,49,738,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Finance/Audit,Finance Executive,"technology,finance,operations,human resources ",Please see job details section for all requirements,Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,
648,https://www.naukri.com/job-listings-An-Excellent-Opening-for-Team-Manager-Data-Analysis-People-Prime-Worldwide-Pvt-Ltd-Hyderabad-5-to-8-years-210917004501?src=jobsearchDesk&sid=15083252468534&xp=42,An Excellent Opening for Team Manager- Data Analysis.,People Prime Worldwide Pvt. Ltd.  hiring for A client of People Prime,5 - 8 yrs,Hyderabad,Not Disclosed by Recruiter,,Posted 27 days ago,226,551,Not Disclosed by Recruiter,IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"Data Analysis,Team Management,Data Analyst,data,analysis,analytics,Business Analyst,Team Manager,assistant manager ","Key Qualifications:-Good understanding of RDBMS data concepts and unstructured dataHands on Data AnalysisHands on experience in transformation and presentation of data on various reporting tools like Tableau, Qlikview, etcHigh comfort in working with ExcelExperience co-coordinating activities across a global teamHigh attention to detail and excellent communication skillsDesired experience working with global teamsContinuous process improvement experience is a plus",Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
649,https://www.naukri.com/job-listings-Analyst-Data-Engineer-BFSI-Premium-Mumbai-2-to-5-years-270917901138?src=jobsearchDesk&sid=15083252468534&xp=43,Analyst - Data Engineer - BFSI,Premium  hiring for Crescendo Global Services,2 - 5 yrs,Mumbai,Not Disclosed by Recruiter,,Posted 20 days ago,12,166,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"Lead Qualification,Final Quality,Python,Java,Product Development,Model Development,Data Analysis,Quality Control,Problem Solving,Business Development,R,data management ","THE SUCCESSFUL CANDIDATE :- 2-5 years of professional experience in analysis of large datasets- B.tech /B.Sc/ M.tech/ M.Sc in Computers, Mathematics, Statistics, Physics, Economics and another relevant degree from Tier 1 and 2 institutions preferred- Expertise in R and python- Strong experience BFSI and Financial Services domain- Strong working knowledge of a range of data management and visualization tools (SQL; NoSQL; gag plot;),- Working knowledge of R is mustWHAT IS IN IT FOR YOU :- A meritocratic culture with clear/great career progression.- Fast track career growth.- Work in a dynamic environment for an established organization.","B.Tech/B.E. - Computers, B.Sc - Computers, Maths, Statistics, Physics","M.Tech - Computers, MS/M.Sc(Science) - Computers, Maths, Physics, Statistics",Doctorate Not Required
