,Job_Link,Job_Title,Company_Name,Experience,Location,SalaryI,Num_Openings,Job_Post,Job_Application,Job_View,Salary,Industry,Functional_Area,Role_Category,Design_Role,Key_Skills,Skill_Experience,UG,PG,Doctorate
10,https://www.naukri.com/job-listings-ARC-BSP-Executive-Fareportal-India-Pvt-Ltd-Gurgaon-1-to-3-years-140317002600?src=jobsearchDesk&sid=15083167382195&xp=17,ARC / BSP Executive,Fareportal India Pvt Ltd.,1 - 3 yrs,Gurgaon,Not Disclosed by Recruiter,,Posted 13 days ago,Less than 10,428,Not Disclosed by Recruiter,BPO  /    Call Centre  /    ITES,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",Back Office/Web/Transaction Processing,Associate/Senior Associate -(NonTechnical),"Sabre,Amadeus,GDS,bsp,arc,adm,exchange,refunds ","- Candidates should be graduates with min 6months-2yrs of  relevant work experience.- Candidates for proficiency in BSP,GDS,Trams, ARC,Excel. -Candidates should be comfortable to work in 24*7 rotational shifts.- Candidates should be able to join asap.",Any Graduate - Any Specialization,,
11,https://www.naukri.com/job-listings-Executive-Assistant-Technical-Assistant-of-CMD-Viraj-Profiles-Ltd-Tarapur-7-to-12-years-130917001870?src=jobsearchDesk&sid=15083167382195&xp=18,Executive Assistant cum Technical Assistant of CMD,Viraj Profiles Ltd,7 - 12 yrs,Tarapur,"8,00,000 - 13,00,000 P.A.",Openings: 1,Posted 5 days ago,86,575,"INR  8,00,000 - 13,00,000 P.A.",Iron and Steel,"Production   ,     Manufacturing   ,     Maintenance",Senior Management,SBU Head/Profit Centre Head,"Business Planning,Business Process,Management Reporting,Performance Monitoring,Raw Material,Performance Analysis,Cost Control,SAP IT Control ",Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, Other Graduate","M.Tech - Any Specialization, Any Postgraduate - Any Specialization",Doctorate Not Required
12,https://www.naukri.com/job-listings-Urgent-Requirement-for-C-Technical-Architect-SENECAGLOBAL-IT-SERVICES-PRIVATE-LIMITED-Hyderabad-13-to-16-years-130717006653?src=jobsearchDesk&sid=15083167382195&xp=19,Urgent Requirement for C++ Technical Architect,SENECAGLOBAL IT SERVICES PRIVATE LIMITED,13 - 16 yrs,Hyderabad,Not Disclosed by Recruiter,,Posted 9 days ago,131,1277,Not Disclosed by Recruiter,IT-Software  /    Software Services,"IT Software - Application Programming   ,     Maintenance",Programming & Design,Technical Architect,"Win32,C#,ASP.Net,C++,VC++,.Net,Javascript,HTML,ADO.Net,DBMS,microsoft,TFS,SVN,agile,java,RDBMS,socket,socket programming,OOAD,SQL server,webservices,rest,restful,threading,XML,xpath,XSD,CLI,windows applications ",Please refer to the Job description above,Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,
13,https://www.naukri.com/job-listings-Accounts-Manager-Executive-Accountant-SPJ-Group-S-P-Jagannath-Sons-Varanasi-Allahabad-2-to-5-years-120817002578?src=jobsearchDesk&sid=15083167382195&xp=20,Accounts Manager / Executive / Accountant - SPJ Group,S.P.Jagannath & Sons,2 - 5 yrs,"Varanasi,    Allahabad","2,50,000 - 6,00,000 P.A.",,Posted 13 days ago,491,2000+,"INR  2,50,000 - 6,00,000 P.A.",FMCG  /    Foods  /    Beverage,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Accounts,Accounts Executive/Accountant,"Accounting,Finance,Auditing,Balance Sheet,Profit,Loss,Financial Reporting,Payments,Analysis ","RequirementsProven experience as a Accountant at least 2 yrs to 5 yrsRegular studies in B.com / M.Com in Finance, Accounting or Economics from a reputed university only.Should be from FMCG or RelevantThorough knowledge of basic accounting procedures and principlesAwareness of business trendsExperience with creating financial statementsExperience in financial analystExtensive understanding of financial trends both within the company and general market patternsProficient user of finance software, tally and excel.Strong interpersonal, communication and presentation skillsAble to manage, guide and lead employees to ensure appropriate financial processes are being usedA solid understanding of financial statistics and accounting principlesWorking knowledge of all statutory legislation and regulations","Other Graduate, B.Com - Commerce","CA, ICWA (CMA), M.Com - Commerce",
14,https://www.naukri.com/job-listings-Sales-Executive-FMCG-Bigbasket-Chennai-2-to-5-years-110817003717?src=jobsearchDesk&sid=15083167382195&xp=21,Sales Executive - FMCG,Bigbasket,2 - 5 yrs,Chennai,"3,00,000 - 4,00,000 P.A.",,Posted 9 days ago,485,1500+,"INR  3,00,000 - 4,00,000 P.A.",FMCG  /    Foods  /    Beverage,"Sales   ,     Retail   ,     Business Development",Retail Sales,Sales/Business Development Manager,"sales executive activities,key account management,fmcg,food ","a. Confident , pleasing and a go-getter personalityb. Effective communication & negotiation skillsc. Should be a team player, working alongside people from all walks of lifed. A customer centric attitudee. Good MS Excel skills & data analysis Working knowledge and experience of e-commerce activities and online marketing channels would be a bonus",Any Graduate - Any Specialization,,
15,https://www.naukri.com/job-listings-Associate-finance-Risk-CFO-Operations-JP-Morgan-Chase-Bengaluru-Bangalore-East-0-to-5-years-101017901449?src=jobsearchDesk&sid=15083167382195&xp=22,Associate_finance & Risk CFO Operations,JP Morgan Chase,0 - 5 yrs,"Bengaluru,    Bangalore East",Not Disclosed by Recruiter,,Posted 8 days ago,63,771,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Finance/Audit,Finance Executive,"technology,finance,operations,human resources ",Please see job details section for all requirements,Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,
16,https://www.naukri.com/job-listings-Account-Exec-3-bus-Dev-Sales-Dell-International-Services-India-Private-Limited-New-Delhi-10-to-15-years-101017901143?src=jobsearchDesk&sid=15083167382195&xp=23,"Account Exec 3,bus Dev - Sales",Dell International Services India  Private Limited,10 - 15 yrs,New Delhi,Not Disclosed by Recruiter,,Posted 8 days ago,27,462,Not Disclosed by Recruiter,IT-Software  /    Software Services,"Sales   ,     Retail   ,     Business Development",Retail Sales,Sales/Business Development Manager,"Account executive,Sales,Sales executive,business development,strategic planning,Business Development Manager,sales strategy ","Candidate profile:- Mandatory knowledge in Video Surveillance/ Physical security/Homeland security/Smart Cities methodology and implementation technologies- Knowledge of several of the following areas: Servers, Ethernet Networks, Unified Storage, Storage Area Network, Network Attached Storage, Content Addressable Storage, System/process monitoring tools, Capacity planning / sizing, Disaster Recovery & archiving, TCP/IP and general networking, Video Analytics, Virtualizing physical security eco-system, high availability in distributed and centralized environments, Messaging.- Excellent communication and presentation skills- Knowledge of MS Project Server and SharePoint- Organizational, time management and strategic planning skills- Bachelors (Technical) or equivalent (MBA Desirable) with 10+ years experience required.- Enterprise Grade Video Surveillance Management System Certification- Experience with C4i Security Systems in general and perimeter security- Understands cross-industry platforms and business impact of a proven security solution designCompetencies:Business AcumenTechnical competenceConfidenceProblem solvingCross boundary CollaborationResults drivenImpact and InfluenceBuilding customer and partner relationshipsDrive for resultsProduct awarenessCommunication skills","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization",MBA/PGDM - Any Specialization,Doctorate Not Required
17,https://www.naukri.com/job-listings-Tele-Marketing-Executive-MAHINDRA-HOLIDAYS-AND-RESORTS-INDIA-LIMITED-Chandigarh-5-to-10-years-101017901121?src=jobsearchDesk&sid=15083167382195&xp=24,Tele Marketing Executive,MAHINDRA HOLIDAYS AND RESORTS INDIA LIMITED,5 - 10 yrs,Chandigarh,Not Disclosed by Recruiter,,Posted 8 days ago,Less than 10,115,Not Disclosed by Recruiter,Travel  /    Hotels  /    Restaurants  /    Airlines  /    Railways,"Sales   ,     Retail   ,     Business Development",Retail Sales,Sales Executive/Officer,"Tele Marketing Executive,Outbound,Acquisition,Comm,Software development life cycle,Customer centric,confirmation,Outbound calling,Technical,Lead generation ",Please refer to the Job description above,B.Com - Commerce,MBA/PGDM,
18,https://www.naukri.com/job-listings-Tele-Marketing-Executive-MAHINDRA-HOLIDAYS-AND-RESORTS-INDIA-LIMITED-Panjim-3-to-8-years-101017901111?src=jobsearchDesk&sid=15083167382195&xp=25,Tele Marketing Executive,MAHINDRA HOLIDAYS AND RESORTS INDIA LIMITED,3 - 8 yrs,Panjim,Not Disclosed by Recruiter,,Posted 8 days ago,Less than 10,96,Not Disclosed by Recruiter,Travel  /    Hotels  /    Restaurants  /    Airlines  /    Railways,"Sales   ,     Retail   ,     Business Development",Retail Sales,Sales Executive/Officer,"Tele Marketing Executive,Acquisition,Scheduling,confirmation,Lead generation,Interviewing,Technical,Telecalling,Outbound calling,Building ",Please refer to the Job description above,B.Com - Commerce,MBA/PGDM,
19,https://www.naukri.com/job-listings-Executive-Facilities-JLL-Hyderabad-2-to-5-years-101017901061?src=jobsearchDesk&sid=15083167382195&xp=26,"Executive ,  Facilities",JLL,2 - 5 yrs,Hyderabad,Not Disclosed by Recruiter,,Posted 8 days ago,65,507,Not Disclosed by Recruiter,Real Estate  /    Property,"HR   ,     Recruitment   ,     Administration   ,     IR",Administration/Facility Management,Executive/ Sr Executive - Administration,"Stores,SPA,Sports,Wellness,Monitoring,Pest control,Horticulture,Administration,Business continuity,Crisis management ",,Any Graduate - Any Specialization,MBA/PGDM - HR/Industrial Relations,
