,Actual_Job_Link,Company_Name,Design_Role,Doctorate,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Salary,SalaryI,Skill_Experience,UG
807,https://www.naukri.com/job-listings-Software-Engineer-Developer-autonics-Co-Ltd-Korea-Trade-Center-South-Korea-3-to-8-years-280917004181,Korea Trade Center  hiring for Autonics co.ltd,Software Developer,Ph.D - Computers,3 - 8 yrs,"IT Software - Application Programming   ,     Maintenance",Electricals  /    Switchgears,12,https://www.naukri.com/job-listings-Software-Engineer-Developer-autonics-Co-Ltd-Korea-Trade-Center-South-Korea-3-to-8-years-280917004181?src=jobsearchDesk&sid=15083232145710&xp=4,Posted 20 days ago,Software Engineer Developer (autonics Co. Ltd.),133,"Software Engineer,software developer,machine vision,machine learning,c++,c#,pascal,delphi,delphi developer ",South Korea,Openings: 1,"Any Postgraduate - Any Specialization, M.Tech - Any Specialization, Computers, MCA - Computers, MS/M.Sc(Science) - Any Specialization, Computers, Electronics & Embedded Technology",Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Computers"
808,https://www.naukri.com/job-listings-Head-Image-Processing-Engineer-Premium-Mumbai-6-to-9-years-150917900827,Premium  hiring for Jobserver Consultancy Services,Database Architect/Designer,Doctorate Not Required,6 - 9 yrs,"IT Software - Embedded   ,     EDA   ,     VLSI   ,     ASIC   ,     Chip Design",IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Head-Image-Processing-Engineer-Premium-Mumbai-6-to-9-years-150917900827?src=jobsearchDesk&sid=15083232145710&xp=5,Posted 32 days ago,Head - Image Processing Engineer,256,"Image Processing Engineer,C++,Machine Learning,MATLAB,Image Processing,TensorFlow,Caffe2,Pytorch ",Mumbai,,Any Postgraduate - Any Specialization,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,Any Graduate - Any Specialization
809,https://www.naukri.com/job-listings-Data-Engineer-Amazon-Bengaluru-5-to-9-years-100717900996,Amazon,Functional Outside Consultant,,5 - 9 yrs,"IT Software - Application Programming   ,     Maintenance",Media  /    Entertainment  /    Internet,24,https://www.naukri.com/job-listings-Data-Engineer-Amazon-Bengaluru-5-to-9-years-100717900996?src=jobsearchDesk&sid=15083232145710&xp=6,Posted 2 days ago,Data Engineer,1500+,"big data,data engineer,sql ",Bengaluru,,Any Postgraduate,System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,B.Tech/B.E.
810,https://www.naukri.com/job-listings-Image-Processing-Engineer-C-Matlab-Premium-Mumbai-4-to-6-years-080917900308,Premium  hiring for Mascot HR Solutions,Database Architect/Designer,Doctorate Not Required,4 - 6 yrs,"IT Software - Embedded   ,     EDA   ,     VLSI   ,     ASIC   ,     Chip Design",IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Image-Processing-Engineer-C-Matlab-Premium-Mumbai-4-to-6-years-080917900308?src=jobsearchDesk&sid=15083232145710&xp=7,Posted 40 days ago,Image Processing Engineer - C++/ Matlab,262,"Image Processing,MATLAB,C++,Algorithms,Machine Learning,Data Processing,Image Processing Engineer ",Mumbai,,Any Postgraduate - Any Specialization,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,Any Graduate - Any Specialization
811,https://www.naukri.com/job-listings-Manual-Test-Engineer-Domain-Premium-Delhi-NCR-Mumbai-Gurgaon-3-to-5-years-270917901595,Premium  hiring for Client of  Job World India Ltd,Testing Engineer,Doctorate Not Required,3 - 5 yrs,IT Software - QA & Testing,IT-Software  /    Software Services,1033,https://www.naukri.com/job-listings-Manual-Test-Engineer-Domain-Premium-Delhi-NCR-Mumbai-Gurgaon-3-to-5-years-270917901595?src=jobsearchDesk&sid=15083232145710&xp=9,Posted 21 days ago,Manual Test Engineer - Payment Domain,1500+,"test engineering,manual testing,natural language processing,application testing,machine learning,artificial intelligence,testing,quality,nlp,Functions testing ","Delhi NCR,    Mumbai,    Gurgaon",,Any Postgraduate - Any Specialization,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,Any Graduate - Any Specialization
812,https://www.naukri.com/job-listings-Chief-Intelligence-Officer-Data-Science-Analytics-TalPro-Delhi-NCR-Mumbai-Bengaluru-Gurgaon-8-to-12-years-201216900158,TalPro,Head/VP/GM - Analytics & BI,,8 - 12 yrs,Analytics & Business Intelligence,KPO  /    Research  /    Analytics,366,https://www.naukri.com/job-listings-Chief-Intelligence-Officer-Data-Science-Analytics-TalPro-Delhi-NCR-Mumbai-Bengaluru-Gurgaon-8-to-12-years-201216900158?src=jobsearchDesk&sid=15083232145710&xp=11,Posted 48 days ago,Chief Intelligence Officer - Data Science & Analytics,951,"Data Science,Machine Learning,Analytics,Web Technologies,Chief Intelligence Officer,SAS,R,statistical framework,Data Management ","Delhi NCR,    Mumbai,    Bengaluru,    Gurgaon",,MBA/PGDM - Any Specialization,Senior Management,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Skills & Experience :- MBA or advanced degree in a quantitative discipline.- 10+ years in Data Science and Analytics execution, with specific experience in all stages - gathering, hygiene, and analysis of data resulting in actionable insights for end-to-end product, marketing and business operations.- Knowledge of advanced analytics and market research approaches, including but not limited to Regression, GLMs, survival modeling, forecasting, machine learning, decision trees etc. using statistical or analytic tools like SAS, R etc.- Ability to work with various teams in a complex environment, ensuring timely delivery of multiple projects.- Highly analytical with the ability to collate, analyse and present data, and drive clear insights to decisions that improve KPIs.",Any Graduate - Any Specialization
813,https://www.naukri.com/job-listings-Data-Warehouse-Architect-Brewcrafts-Microbrewing-Pvt-Ltd-Mumbai-Khar-West-5-to-8-years-181017002223,Brewcrafts Microbrewing Pvt Ltd,Data Analyst,Doctorate Not Required,5 - 8 yrs,Analytics & Business Intelligence,FMCG  /    Foods  /    Beverage,Less than 10,https://www.naukri.com/job-listings-Data-Warehouse-Architect-Brewcrafts-Microbrewing-Pvt-Ltd-Mumbai-Khar-West-5-to-8-years-181017002223?src=jobsearchDesk&sid=15083232145710&xp=13,Posted Just Now,Data Warehouse Architect,12,"data warehousing,business intelligence,bi,analytics,aws redshift,postgresql,AWS S3,AWS Lambda,Python,NoSQL,GIT,Data Migration,Data Integration,OLAP,OLTP,ETL,Data Staging ",Mumbai(Khar West),Openings: 1,"MCA - Computers, M.Tech - Any Specialization, MS/M.Sc(Science) - Any Specialization",Analytics & BI,"INR  6,50,000 - 8,00,000 P.A.","6,50,000 - 8,00,000 P.A.",Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization"
814,https://www.naukri.com/job-listings-Server-Side-Engineer-Java-Python-NIT-Bits-IIT-VIT-Premium-Hyderabad-2-to-5-years-180817901605,Premium  hiring for A Leading Client of Hyrezy Talent Solutions,Technical Support Engineer,Doctorate Not Required,2 - 5 yrs,IT Software - Client/Server Programming,IT-Software  /    Software Services,16,https://www.naukri.com/job-listings-Server-Side-Engineer-Java-Python-NIT-Bits-IIT-VIT-Premium-Hyderabad-2-to-5-years-180817901605?src=jobsearchDesk&sid=15083232145710&xp=14,Posted 60 days ago,"Server Side Engineer - Java/ Python - NIT, Bits, IIT VIT",548,"Java,Python,Spark,Machine Learning,Ruby,Cassandra,Node.Js,Software Engineering,Server Side,Problem Solving,Kafka,Ruby on Rails,Node. ",Hyderabad,,"Any Postgraduate - Any Specialization, M.Tech - Any Specialization, Computers, MBA/PGDM - Any Specialization",Admin/Maintenance/Security/Datawarehousing,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Qualification: BTECH/BE in CSE or equivalent (NIT, BITS, IIT VIT, only premium)","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Computers"
815,https://www.naukri.com/job-listings-Data-Science-Specialist-Manager-8-Yr-12-Yr-bangalore-Gurgaon-Brainsearch-Consulting-Pvt-Ltd-Delhi-NCR-Mumbai-Bengaluru-8-to-13-years-160917005148,Brainsearch Consulting Pvt Ltd  hiring for Fortune 10 US IT MNC @ Bangalore / Delhincr,Technical Architect,Any Doctorate - Any Specialization,8 - 13 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,115,https://www.naukri.com/job-listings-Data-Science-Specialist-Manager-8-Yr-12-Yr-bangalore-Gurgaon-Brainsearch-Consulting-Pvt-Ltd-Delhi-NCR-Mumbai-Bengaluru-8-to-13-years-160917005148?src=jobsearchDesk&sid=15083232145710&xp=16,Posted 16 days ago,Data Science - Specialist / Manager (8 Yr -12 Yr) -bangalore / Gurgaon,846,"Deep Learning,R,Machine Learning,Data Science,Python,Arima,Linear Regression,Algorithms,Matlab,Rapidminer,Tableau,R Shiny,Seaborn,Hive,Pig,Spark ","Delhi NCR,    Mumbai,    Bengaluru",Openings: 2,Any Postgraduate - Any Specialization,Programming & Design,"INR  20,00,000 - 35,00,000 P.A. Excellent Salary","20,00,000 - 35,00,000 P.A.","Exp with one or more data visualization tool / library such as Tableau, R Shiny, Seaborn, etc. Proficiency in SQL queries. Nice to have knowledge of Big Data platforms like Hadoop: Hive, Pig, Spark (good to have) & NoSQL DBs like MongoDB, Cassandra",Any Graduate - Any Specialization
816,https://www.naukri.com/job-listings-Full-Stack-Backend-Developer-Inclov-Startup-Gurgaon-2-to-5-years-181017900096,Inclov - Startup,Software Developer,Doctorate Not Required,2 - 5 yrs,"IT Software - eCommerce   ,     Internet Technologies",Internet  /    Ecommerce,Less than 10,https://www.naukri.com/job-listings-Full-Stack-Backend-Developer-Inclov-Startup-Gurgaon-2-to-5-years-181017900096?src=jobsearchDesk&sid=15083232145710&xp=18,Posted Few Hours Ago,Full Stack ( Backend ) Developer,27,"javascript,html,spring,python,node.js,angularjs,mongodb,django,nosql,full stack developer,backend developer ",Gurgaon,,Any Postgraduate - Any Specialization,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,Any Graduate - Any Specialization
