,Job_Link,Job_Title,Company_Name,Experience,Location,SalaryI,Num_Openings,Job_Post,Job_Application,Job_View,Salary,Industry,Functional_Area,Role_Category,Design_Role,Key_Skills,Skill_Experience,UG,PG,Doctorate
0,https://www.naukri.com/job-listings-Data-Scientist-Perl-python-niki-ai-Bengaluru-3-to-6-years-181017900094?src=jobsearchDesk&sid=15083094317409&xp=2,Data Scientist - Perl/python,niki.ai,3 - 6 yrs,Bengaluru,Not Disclosed by Recruiter,,Posted Just Now,Less than 10,Less than 10,Not Disclosed by Recruiter,IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"Machine Learning,Python,Data Analysis,Statistical Analysis,Algorithms,Software Development,Application Software,Perl,Ruby,data ingestion ","Qualifications and Skills :1. B.tech/MS or equivalent degree in a quantitative discipline.2. 3-5 years of experience in a relevant industry.3. Building and maintaining data ingestion and processing pipelines.4. Familiarity and ease in using at least one of the scripting languages - Python, Perl, Ruby etc.5. Ability to coordinate and work with multiple departments",B.Tech/B.E. - Any Specialization,"M.Tech - Any Specialization, MS/M.Sc(Science) - Any Specialization",Doctorate Not Required
1,https://www.naukri.com/job-listings-Data-Scientist-Brillio-Technologies-Pvt-Ltd-Bengaluru-2-to-5-years-161017902217?src=jobsearchDesk&sid=15083094317409&xp=3,Data Scientist,Brillio Technologies Pvt. Ltd,2 - 5 yrs,Bengaluru,Not Disclosed by Recruiter,,Posted 1 day ago,14,166,Not Disclosed by Recruiter,IT-Software  /    Software Services,"Medical   ,     Healthcare   ,     R&D   ,     Pharmaceuticals   ,     Biotechnology",R&D,Research Scientist,"Analytics,Data analysis,Python,Visualization,Algorithms,Text mining,Analytical techniques,big data,Business Executive,SAS SQL ",,Any Graduate - Any Specialization,Post Graduation Not Required,
2,https://www.naukri.com/job-listings-Senior-Data-Scientist-Data-Scientist-Knorex-India-Pune-Hadapsar-3-to-6-years-181017000490?src=jobsearchDesk&sid=15083094317409&xp=4,"Senior Data Scientist, Data Scientist,",Knorex India,3 - 6 yrs,Pune(Hadapsar),"4,25,000 - 9,25,000 P.A.",Openings: 1,Posted Just Now,Less than 10,Less than 10,"INR  4,25,000 - 9,25,000 P.A.",IT-Software  /    Software Services,IT Software - System Programming,Programming & Design,System Analyst,"python,machine learning,r,algorithms,java,marketing,analytics,predictive modeling,advertising,statistical analysis,data management,data analysis ",Please refer to the Job description above,B.Tech/B.E. - Computers,"M.Tech - Computers, Post Graduation Not Required",Doctorate Not Required
3,https://www.naukri.com/job-listings-Data-Scientist-GoPaisa-Netventures-Pvt-Ltd-New-Delhi-Jasola-3-to-5-years-161017900264?src=jobsearchDesk&sid=15083094317409&xp=5,Data Scientist,GoPaisa Netventures Pvt Ltd,3 - 5 yrs,"New Delhi,    Jasola",Not Disclosed by Recruiter,,Posted 2 days ago,Less than 10,108,Not Disclosed by Recruiter,Internet  /    Ecommerce,"IT Software - eCommerce   ,     Internet Technologies",Programming & Design,Database Architect/Designer,"mysql,solr,git,web technologies,performance tuning,data scientist,data Structure,design,databases,Linux,agile ","Qualification	-B-Tech , MCA , M-Tech",B.Tech/B.E. - Any Specialization,"M.Tech - Any Specialization, MCA - Computers",Doctorate Not Required
4,https://www.naukri.com/job-listings-Data-Engineer-analyst-scientist-Big-Data-IDS-Infotech-Ltd-Chandigarh-2-to-4-years-181017000683?src=jobsearchDesk&sid=15083094317409&xp=6,Data Engineer/analyst/scientist (Big Data),IDS Infotech Ltd.,2 - 4 yrs,Chandigarh,"4,00,000 - 8,00,000 P.A.",Openings: 1,Posted Just Now,Less than 10,Less than 10,"INR  4,00,000 - 8,00,000 P.A.",IT-Software  /    Software Services,"IT Software - Application Programming   ,     Maintenance",Programming & Design,Software Developer,"Big Data Engineer,Big Data Developer,Big Data Consultant ",Please refer to the Job description above,"B.Tech/B.E. - Computers, BCA - Computers","M.Tech - Computers, MCA - Computers",
5,https://www.naukri.com/job-listings-Data-Scientist-Inkredo-Startup-Gurgaon-1-to-3-years-171017901438?src=jobsearchDesk&sid=15083094317409&xp=8,Data Scientist,Inkredo - Startup,1 - 3 yrs,Gurgaon,Not Disclosed by Recruiter,,Posted 1 day ago,11,68,Not Disclosed by Recruiter,Internet  /    Ecommerce,"IT Software - DBA   ,     Datawarehousing",Programming & Design,Database Architect/Designer,"software solutions,data scientist,NLP,data science model,PostgreSQL,API development,relational database,Python,Django,Design ","Experience:  Experience in NLP, network analysis, or geospatial analysis  Experience with maintaining data science models in a production environmentRequirements:  Excellent ability to prioritize & communicate in a fast-paced environment  Experience in working on backend platforms using R, Python (Django)  Strong relational database experience (PostgreSQL)  Strong familiarity with AWS (EC2, S3, RDS, ELB)  Working knowledge in API development for mobile/ web use","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization",Any Postgraduate - Any Specialization,Doctorate Not Required
6,https://www.naukri.com/job-listings-Data-Scientist-SQL-Hive-Pig-xtLytics-Delhi-NCR-Noida-5-to-10-years-131017901845?src=jobsearchDesk&sid=15083094317409&xp=9,Data Scientist - SQL/ Hive/ Pig,xtLytics,5 - 10 yrs,"Delhi NCR,    Noida",Not Disclosed by Recruiter,,Posted 5 days ago,36,227,Not Disclosed by Recruiter,IT-Software  /    Software Services,"IT Software - DBA   ,     Datawarehousing",Admin/Maintenance/Security/Datawarehousing,DBA,"Hive,Data Science,Machine Learning,R,SQL,Data Mining,Data Visualization,Algorithms,Data Collection,Communication Skills ","Education- A Bachelor's degree in a quantitative discipline, example Engineering, Mathematics, Statistics, etc. (Tier-1 is preference).Work Experience- A minimum of 5 Year fulltime work experience is required.Location: Noida","B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Maths, Statistics, B.A - Any Specialization, Maths, Statistics",Any Postgraduate - Any Specialization,Doctorate Not Required
7,https://www.naukri.com/job-listings-Tacit-DDC-Lead-Data-Scientist-Shell-India-Markets-Private-Limited-Bengaluru-12-to-14-years-171017901222?src=jobsearchDesk&sid=15083094317409&xp=10,Tacit- DDC- Lead Data Scientist,Shell India Markets Private Limited,12 - 14 yrs,Bengaluru,Not Disclosed by Recruiter,Openings: 1,Posted 1 day ago,Less than 10,120,Not Disclosed by Recruiter,IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"data science,data analytics,agile,machine learning,lean,execution,project management,customer satisfaction,analytical ability,R,Python,MatLab,SAS ","Requirements:	Skills & Requirements:    Bachelor or master degree in statistics, mathematics, theoretical science, operational research or computer science    MBA/ PHD in relevant domain is strongly preferred    Experience- 12+ years    Significant experience in data science delivery in a corporate environment    Must have strong technical skills and direct, hands-on experience of developing advanced analytics algorithms/models.    Skilled in analytics    Skilled in data design integrity    Skilled in value exploitation    Awareness of lifecycle and data management is desirable    Awareness of information and data strategy and governance is desirable    Commercial skills are an advantage.    Have strong interpersonal, communication, facilitation and presentation skills. Is experienced in communicating with business at all levels.                                                                                                                                                                                            Job Experience Requirements:Candidates for the position should have experience in the delivery of analytics solutions within business or industry.Position requires business knowledge of:     Hands-on code development (R, Python, MatLab, SAS).    Use of advanced analytics technology in the context of application deployment    Expertise in data source extraction (ETL) is also strongly preferable (HANA, SQL, Oracle, SharePoint, Hadoop, Spark)Job Competence Requirements:These are maximum requirements so room should be allowed for in-role development.I&D Value Exploitation: SkillI&D Strategy & Governance: SkillI&D Design Integrity:SkillI&D Lifecycle & Quality Management:KnowledgeI&D Business Analytics: Mastery.","B.Tech/B.E. - Computers, B.Sc - Computers, Maths, Statistics","MBA/PGDM - Any Specialization, M.Tech - Any Specialization, Computers, MS/M.Sc(Science) - Computers, Maths, Statistics",Ph.D
8,https://www.naukri.com/job-listings-Data-Scientist-R-Statistical-Modelling-IIT-NIT-Kafal-Software-Delhi-NCR-4-to-9-years-131017901840?src=jobsearchDesk&sid=15083094317409&xp=11,Data Scientist - R/ Statistical Modelling - IIT/ NIT,Kafal Software,4 - 9 yrs,Delhi NCR,Not Disclosed by Recruiter,,Posted 5 days ago,29,248,Not Disclosed by Recruiter,IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"Data Analysis,Data Mining,R,Statistical Modeling,Machine Learning,Advanced Analytics,Excel,Business Intelligence,Hadoop,Open Source ",IITs and NITs preferred,B.Tech/B.E. - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
9,https://www.naukri.com/job-listings-Data-Scientist-Digital-Intelligence-COE-FedEX-Express-Transportation-Supply-ChainServices-I-Pvt-Ltd-Mumbai-2-to-7-years-060917003158?src=jobsearchDesk&sid=15083094317409&xp=13,Data Scientist -  Digital Intelligence COE,FedEX Express Transportation & Supply ChainServices (I) Pvt Ltd,2 - 7 yrs,Mumbai,Not Disclosed by Recruiter,,Posted Today,954,2500+,Not Disclosed by Recruiter,KPO  /    Research  /    Analytics,Analytics & Business Intelligence,Other,Other,"hadoop,hive,data analysis,oozie,flume,sql,sqoop,big data,cassandra,scala,spark,flink,hortonworks,map reduce,hbase,mongo db,NOSQL,Statistics,statistical modelling,Modelling,Data Scientist,Data Science ",Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, BCA - Computers, B.Sc - Computers, Electronics, Maths, Physics, Statistics",Post Graduation Not Required,Doctorate Not Required
